Variavel,ID,Descricao
Votante,783,Vinicius Carvalho
Votante,784,Vital do Rêgo Filho
Votante,785,Vitor Penido
Votante,786,Waldir Maranhão
Votante,787,Walter Ihoshi
Votante,788,Wandenkolk Gonçalves
Votante,789,William Woo
Votante,790,Aelton Freitas
Votante,791,Camilo Cola
Votante,792,Djalma Berger
Votante,793,Duarte Nogueira
Votante,794,Edmilson Valentim
Votante,795,Fábio Ramalho
Votante,796,Flávio Dino
Votante,797,Hugo Leal
Votante,798,Ibsen Pinheiro
Votante,799,João Maia
Votante,800,José Airton Félix Cirilo
Votante,801,Lindomar Garçon
Votante,802,Marcelo Almeida
Votante,803,Marcelo Melo
Votante,804,Marcelo Serafim
Votante,805,Marcio Junqueira
Votante,806,Nelson Goetten
Votante,807,Nilmar Ruiz
Votante,808,Paulo Renato Souza
Votante,809,Paulo Teixeira
Votante,810,Professor Ruy Pauletti
Votante,811,Raul Henry
Votante,812,Rebecca Garcia
Votante,813,Rodrigo Rocha Loures
Votante,814,Sergio Petecão
Votante,815,Silvio Lopes
Votante,816,Sueli Vidigal
Votante,817,Tonha Magalhães
Votante,818,Uldurico Pinto
Votante,819,Waldir Neves
Votante,820,Abelardo Camarinha
Votante,821,Acélio Casagrande
Votante,822,Antonio José Medeiros
Votante,823,Beto Mansur
Votante,824,Bispo Gê Tenuta
Votante,825,Brizola Neto
Votante,826,Carlos Bezerra
Votante,827,Carlos Wilson
Votante,828,Fábio Faria
Votante,829,Indio da Costa
Votante,830,João Carlos Bacelar Filho
Votante,831,José Fernando Aparecido de Oliveira
Votante,832,Laurez Moreira
Votante,833,Marcos Medrado
Votante,834,Maurício Trindade
Votante,835,Neri Geller
Votante,836,Neudo Campos
Votante,837,Otavio Leite
Votante,838,Rogerio Lisboa
Votante,839,Sebastião Bala Rocha
Votante,840,Íris de Araújo
Votante,841,Ratinho Junior
Votante,842,Márcio França
Votante,843,Mauro Mariani
Votante,844,Marina Maggessi
Votante,845,Izalci Lucas
Votante,846,Walter Brito Neto
Votante,847,Geraldo Simões
Votante,848,José Maia Filho
Votante,849,Ricardo Quirino
Votante,850,José Edmar
Votante,851,Márcio Marinho
Votante,852,Major Fábio
Votante,853,Laercio Oliveira
Votante,854,Antonio Carlos Chamariz
Votante,855,Capitão Assumção
Votante,856,Charles Lucena
Votante,857,Eleuses Paiva
Votante,858,Elizeu Aguiar
Votante,859,Emilia Fernandes
Votante,860,Emiliano José
Votante,861,Fernando Chiarelli
Votante,862,Fernando Marroni
Votante,863,Fernando Nascimento
Votante,864,Glauber Braga
Votante,865,Paes de Lira
Votante,866,Paulo Rattes
Votante,867,Wilson Picler
Votante,868,José C Stangarlini
Votante,869,Roberto Alves
Votante,870,Milton Vieira
Votante,871,Zé Vieira
Votante,872,Bene Camacho
Votante,873,Geraldinho
Votante,874,Cassio Taniguchi
Votante,875,Acelino Popó
Votante,876,Adrian
Votante,877,Aguinaldo Ribeiro
Votante,878,Alberto Filho
Votante,879,Alceu Moreira
Votante,880,Alessandro Molon
Votante,881,Alexandre Leite
Votante,882,Alfredo Sirkis
Votante,883,Almeida Lima
Votante,884,Amauri Teixeira
Votante,885,Andre Moura
Votante,886,Ângelo Agnolin
Votante,887,Anthony Garotinho
Votante,888,Antônia Lúcia
Votante,889,Antonio Balhmann
Votante,890,Antonio Brito
Votante,891,Antonio Imbassahy
Votante,892,Arnaldo Jordy
Votante,893,Arthur Lira
Votante,894,Arthur Oliveira Maia
Votante,895,Artur Bruno
Votante,896,Assis Melo
Votante,897,Audifax
Votante,898,Augusto Coutinho
Votante,899,Aureo Ribeiro
