id,votacao,alpha
142,2682,3.061288e-05
143,2702,-0.0005455954
144,2727,-7.780982e-06
145,2751,0.00018663531
146,2797,-0.001491077
147,2808,-0.00022940403
148,2809,-0.0005909553
149,2832,0.00029985767
150,2840,8.3201405e-05
151,2847,0.0003779852
152,2855,0.0009571657
153,2860,-0.00082877016
154,2863,-9.6424315e-05
155,2868,0.0009597779
156,2872,0.0008208368
157,2873,7.0799426e-05
158,2885,-0.0026013004
159,2904,2.38724e-05
160,2907,-1.995394e-05
161,2909,0.00012345132
162,2913,0.00061773905
163,2921,3.422192e-05
164,2924,0.0077208653
165,2925,-0.0035228054
166,2928,-0.00015429159
167,2931,4.875958e-06
168,2938,-0.14239673
169,2948,0.002023154
170,2949,-0.008386797
171,2951,0.0032244383
172,2980,0.00040431094
173,2990,0.00037229375
174,2995,-0.0009880277
175,2996,-0.0003862786
176,2997,-0.0003046468
177,2999,0.00023553474
178,3022,0.00046204962
179,3026,-0.0032702475
180,3028,-0.0014177803
181,3060,-0.00030189872
182,3062,-0.0031168852
183,3063,9.7657496e-05
184,3068,-3.3143082e-05
185,3089,0.00060739054
186,3096,-2.0963154e-05
187,3104,-0.003371809
188,3105,4.324646e-05
189,3112,0.00011535878
190,3125,0.0034508985
191,3128,0.0011036623
192,3138,-0.004247845
193,3146,0.00012860575
194,3148,-0.00022267268
195,3151,0.000104462175
196,3168,-0.0031534499
197,3183,-0.00011330277
198,3186,-0.00020724634
199,3189,5.2789357e-05
200,3196,0.00019152185
201,3208,-0.0034192726
202,3225,-0.00019796415
203,3235,6.649704e-05
204,3243,-7.507217e-05
205,3259,5.7706726e-05
206,3273,4.8818856e-05
207,3277,1.5545098e-05
208,3289,1.963664e-05
209,3290,-4.1884137e-05
210,3291,0.00012248238
211,3293,0.00064974144
212,3314,0.0019777785
213,3316,0.0003248457
214,3323,0.0010122556
215,3330,0.0010488511
216,3338,3.9740284e-05
217,3340,-0.0006183245
218,3343,0.00021293931
219,3345,0.0008489315
220,3362,-0.00084257167
221,3365,0.0012123047
222,3366,5.0970564e-05
223,3367,-0.00033466076
224,3378,0.0012131216
225,3379,-0.0027617032
226,3394,0.00042242778
227,3426,-6.4803586e-05
228,3430,9.373602e-06
229,3444,0.00025454076
