id,votante,alpha,dim_lat1,dim_lat2
258,Márcio Matos,3.274233e-05,0.013289476,-1.6385014
259,Márcio Reinaldo Moreira,-0.10671932,-1.1092614,-0.32236338
260,Marcos Cintra,0.00011375926,-0.011485363,-0.023245832
261,Marcos de Jesus,-0.011962114,-0.5460318,0.007709127
262,Marcos Lima,-0.013962359,-3.4105692,-0.48763657
263,Marcos Rolim,-3.9763923e-05,-0.119382046,-0.06793633
264,Marcus Vicente,-0.010482597,-0.87079394,-1.1974447
265,Maria do Carmo Lara,0.0029032268,-4.0025334,0.6092197
266,Marinha Raupp,-0.011459882,-1.5617822,-0.8752811
267,Mário Assad Júnior,0.0057797465,-2.2071652,0.5450214
268,Mário de Oliveira,-0.00887052,-1.790098,-1.4827223
269,Mário Negromonte,-0.006662182,-3.5003006,-1.0140557
270,Marisa Serrano,0.000102506616,-5.4381064e-05,-1.5423279
271,Maurilio Ferreira Lima,-0.00022609439,-6.191843e-05,-0.83751255
272,Mauro Benevides,0.10734085,-2.597385,-2.7362738
273,Mauro Fecury,-0.00012494624,4.142323e-05,-0.49657106
274,Mauro Lopes,0.014612084,-1.9951437,-1.19713
275,Max Mauro,0.003739982,0.14197578,1.9696556
276,Max Rosenmann,0.009097611,0.03935027,-1.1062164
277,Medeiros,-0.005174356,-1.8921684,1.5517281
278,Mendes Ribeiro Filho,0.016387742,0.58803856,1.1245182
279,Milton Barbosa,0.0033382135,-0.4773463,-2.5084615
280,Milton Monti,-0.027616266,-4.4337144,-1.9003202
281,Milton Temer,-4.695181e-06,-0.20124757,-0.4274922
282,Miriam Reid,-2.6539694e-05,0.78754014,0.46129596
283,Miro Teixeira,-0.11666124,0.7105978,0.49853992
284,Moacir Micheletto,-0.016201377,-2.3913665,-1.9654037
285,Moreira Ferreira,-5.0299655e-05,-0.51048076,-0.44857013
286,Moroni Torgan,-0.054747358,1.138584,0.37328163
287,Murilo Domingos,4.914946e-05,-1.1230436e-05,-0.5473154
288,Nair Xavier Lobo,1.336501e-05,1.5635433e-06,-1.751459e-05
289,Narcio Rodrigues,0.008127861,0.48278958,-2.8481007
290,Neiva Moreira,0.0029843713,1.5144101,-0.53136754
291,Nelo Rodolfo,-5.9430153e-05,-0.0043520667,-1.4501046
292,Nelson Meurer,-0.044675753,-6.5384016,-1.1684985
